"Class: 25, Method: 200, Field: 120 dep:1197"										
Before: cohesion:0.013916 coupling:45.920000 raw_coupling:1148.000000 fit:0.000303 										
Iter	MSC	MPC	Fit	Refactoring #	Ref Accumulated #	expected coupling	actual coupling	search space	elapsed time	exhaustive space
157	0.015208107	33.52	0.000453703	1	157	838	838	31400	14.98	18360573333302800479945789355732198739396137474572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
158	0.015206264	33.4	0.000455277	1	158	835	835	31600	15.08	3672114666660560095989157871146439747879227494914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
159	0.015082093	33.36	0.000452101	1	159	834	834	31800	15.17	734422933332112019197831574229287949575845498982914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
160	0.016566442	33.32	0.000497192	1	160	833	833	32000	15.25	146884586666422403839566314845857589915169099796582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
161	0.016598923	33.28	0.000498766	1	161	832	832	32200	15.34	29376917333284480767913262969171517983033819959316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
162	0.016660467	33.2	0.000501821	1	162	830	830	32400	15.44	5875383466656896153582652593834303596606763991863316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
163	0.016663158	33.16	0.000502508	1	163	829	829	32600	15.53	1175076693331379230716530518766860719321352798372663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
164	0.016665338	33.08	0.000503789	1	164	827	827	32800	15.62	235015338666275846143306103753372143864270559674532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
165	0.017751704	33.04	0.000537279	1	165	826	826	33000	15.72	47003067733255169228661220750674428772854111934906532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
166	0.017718655	33	0.000536929	1	166	825	825	33200	15.81	9400613546651033845732244150134885754570822386981306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
167	0.018870103	32.96	0.000572515	1	167	824	824	33400	15.9	1880122709330206769146448830026977150914164477396261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
168	0.018881989	32.88	0.00057427	1	168	822	822	33600	16	376024541866041353829289766005395430182832895479252261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
169	0.018736607	32.84	0.000570542	1	169	821	821	33800	16.1	75204908373208270765857953201079086036566579095850452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
170	0.01875866	32.76	0.000572609	1	170	819	819	34000	16.2	15040981674641654153171590640215817207313315819170090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
171	0.018736554	32.72	0.000572633	1	171	818	818	34200	16.29	3008196334928330830634318128043163441462663163834018090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
172	0.018755336	32.64	0.000574612	1	172	816	816	34400	16.39	601639266985666166126863625608632688292532632766803618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
173	0.018819227	32.6	0.000577277	1	173	815	815	34600	16.49	120327853397133233225372725121726537658506526553360723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
174	0.01885434	32.48	0.000580491	1	174	812	812	34800	16.6	24065570679426646645074545024345307531701305310672144723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
175	0.018869764	32.44	0.000581682	1	175	811	811	35000	16.7	4813114135885329329014909004869061506340261062134428944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040201005025125628140703517587939698492462311557788944723618090452261306532663316582914572864321608040200
